,Photographer,Country,Story
0,Mogens Haven,Denmark,
1,Bela Zola,United Kingdom,"Bela Zola was a dark room assistant for James Jarche before joining the Daily Mirror shortly after the Second World War. Like all Mirror photographers, Bela was expected to cover anything and everything the news agenda threw up. In the morning he might be in the studio shooting for a fashion feature, in the afternoon he might be expected to photograph any number of newsworthy events taking place in the capital, and in the evening he could be seen at film premieres or social events capturing the great and the good for the next day’s paper. Zola's talent for a good image, was recognized by the paper's management, and in the early 1950s, the Daily Mirror gave him a page called “Life in the Mirror"". Here, he recorded the day to day lives of people who made up Britain. In the 1960s, he covered the rise of the Beatles and the ever changing face of Britain. A few of the events captured by his lens, were the tragic results of the mudslide at Aberfan. The great train robbery, the anti Vietnam war demonstrations in London and the Profumo affair. Bela's career with the Daily Mirror finally came to an end in 1975, when he retired after 30 years service."
2,Fred Fischer,Netherlands Antilles,"Fred Fischer was born in 1905 in Grinzing near Vienna in Austria. In the 1920s he had been an assistant of the German cinematographer Eugen Schüfftan, before moving to Amsterdam. In the 1930s, Fischer came to Curaçao in the Netherlands Antilles, working as a jazz musician on a ship. After a performance in Piscadera, he decided to stay on the island. He set up a photo and film studio and also became a press photographer.When the Second World War broke out, Fischer was working on board of a KNSM ship on a film about Curaçao. Although being a jew, but because of his Austrian nationality, Fischer was interned in a camp on the island of Bonaire during the Second World War, the Netherlands being at war with Austria and Germany. After the war, Fischer stayed on Curaçao where he ran his studio Foto Fischer. He became famous for being one of the first underwater photographers. He was the island's so-called nestor of photography and trained many professional photographers and amateurs.Fred Fischer died in Willemstad, Curaçao, in 1981. His negatives were acquired by the Curaçao National Archive in the 1980s."
3,Helmuth Pirath,Germany,
4,Antoine Rulmont,Belgium,Belgian photographer who lived from 1914 till 1968.
5,Louis Garnade,United Kingdom,
6,Sergey Preobrazhensky,Russia,"Sergey Preobrazhensky (1912-?) was a member of the USSR Union of Journalists before the Second World War. After the war, he joined ITAR-TASS, from which he retired in 1972."
7,Tibor Komlós,Hungary,"Tibor Komlós (Budapest, 6 April 1923 – Budapest, 30 October 1976) started his career as a printer at Tolna Press, where he photographed as well. In 1951 he left the printing industry to become a full time photo journalist. Komlós worked for magazines such as Képes Sport and Lobogó. From 1969 until 1974, Komlos was also Lobogó's picture editor and columnist. Tibor Komlós was a member of the Association of Hungarian Photo Artists and of the International Federation of Photographic Art (FIAP). In Hungary, he was famous for his sport photography, and he won several prizes, including a World Press Photo award and an AFIAP award."
8,Franz Votava,Austria,
9,Douglas Martin,USA,
10,Zygmunt Wdowinski,Poland,
11,Ernest E. Miller,United Kingdom,
12,Albert Winkler,Switzerland,
13,Simon E. Smit,The Netherlands,"Dutch press photographer Simon E. Smit, born in The Hague in 1914, started his career as a press photographer in 1931. He worked press agency Vaz Dias and Polygoon and worked for the Dutch newspapers Het Binnenhof and the Haagsche Courant. He was one of the first Dutch photographers who took to the streets, roaming and searching for subjects. Simon Smit died in December 2012."
14,Leos Nebor,Czech Republic,"Leos Nebor (1930-1992) started photographing in 1945, when he captured the soldiers who liberated the Czech town of Dvur Králové at the end of the Second World War. Between 1952 and 1958, Nebor workd for the Czechoslovakian News Agency CTK. In 1959, he co-founded the magazine Mlady Svet and became its chief photographer and picture editor. In 1968, he transferred to another magazine, Svet v Obrazech. Unfortunately, after the Russians made an end to the Prague Spring of 1968, Nebor was excluded from the offical photographic and journalistic community in Czechoslovakia. To earn a living, Nebor began working as a documentalist for the Transgas company. In 1989, Leos was rehabilitated, and he became photo journalist for the publication My, where he worked until his death in 1992."
15,Robert Edwards,United Kingdom,
16,Jaap J. Herschel,The Netherlands,
17,Nikola Bibic,Yugoslavia,
18,Vilém Kropp,Czech Republic,"Vilém Kropp (Czech Republic, 1920-2012) was a self-taught photographer. From 1945 until 1984, he worked as a photojournalist for the Prague newspaper Dénik. From 1984 onwards, he ran a publishing company and bookstore in Beroun. "
19,Jean-Philippe Charbonnier,France,"Jean-Philippe Charbonnier (1921-2004) was born in Paris in an artistic family. In 1939, his father gave him his first camera, and his neighbour, the cinema photographer Sam Lévin became his teacher and mentor. In de Second World War, he trained in the photo studio of Blanc et Demilly, before going to Switzerland in 1943. In Switzerland, he met Jean Manevy with whom he studied typography and lay-out design. In 1944, he returned to France and became a typesetter for the newspaper Libération, while working at the same time as a freelance photographer. In 1950, he joined the monthly magazine Réalités, where he stayed until 1974. Charbonnier was a photographic globetrotter who travelled the world to photograph major events and famous people, and ascendsfrom daily life. In 1975, he left the magazine to become a freelancer again. In 1996, he received the Grand Prix de la photographie de la Ville de Paris. He died in Grasse in 2004."
20,Ernö Vadas,Hungary,
21,Oleg Tsesarsky,Russia,
22,Colin Fletcher,United Kingdom,
23,Stanislav Tereba,Czech Republic,
24,Otakar Hürka,Czech Republic,"Otakar Hürka (Prague, 1935) started as a lab technician in a hospital, after graduating from Medical School in Prague. He began to photograph as a student for several daily newspapers and sport organizations. Hürka was a fervent sportsman, who played ice hockey, basketball and tennis. In 1955, he started to work for one of the main sports newspapers in Czechoslovakia, and quickly became its chief photographer. After 11 years, he switched to the weekly magazine Vlasta, and not long after that he became the chief photographer of one of the biggest magazines in Czechoslovakia at the time: Kvety. Hürka ended his career as the official photographer of the Czechoslovakian televison network."
25,Gunnar Tingsvall,Sweden,
26,Daniel Camus,France,"Daniel Camus was a photographer in the French army during the war in Indochina in the 1950s. After his return to France, he joined French magazine Paris Match as a staff photographer. In December 1958, he married Paris Match reporter Marie-Hélène Vivies. During their honeymoon on Cuba in January 1959, they witnessed the capture of Havana by Fidel Castro's revolutionary guerrilla army. They published their story and photos in the book Lune de miel chez Fidel Castro (Honeymoon with Fidel Castro)."
27,Jean Mounicq,France,
28,Peter Sheppard,United Kingdom,
29,Otto J. Nöcker,Germany,
30,Carl O. Löfman,Sweden,
31,André Lefèbvre,France,
32,Yasushi Nagao,Japan,
33,Warren K. Leffler,USA,
34,Erkki Laitila,Finland,
35,Herbert Peterhofen,Germany,
36,Victor Blackman,United Kingdom,
37,Guido Mangold,Germany,
38,Jochen Blume,Germany,
39,Walter Studer,Switzerland,
40,Héctor Rondón Lovera,Venezuela,
41,Henryk Grzeda,Poland,
42,Eisse Folkers Jr.,The Netherlands,
43,Erik Parbst,Denmark,
44,Wilhelm Mann,Germany,
45,Herbert Kofler,Austria,
46,Cees Boer,The Netherlands,
47,Helge Heinonen,Finland,
48,H. Hattori,Japan,
49,Josef Pillmann,Switzerland,
50,Jovan Ritopecki,Yugoslavia,"Serbian photographer Jovan Ritopecki was the official photographer of the partisans in Yugoslavia during the Second World War. After the war, he became a photojournalist for the Belgrade newspaper Politika. In the 1970s he came to Vienna, Austria, and became head of the information department of the Vereins Jedinstvo (Jedinstvo Association for Art and Culture) and thus the offical photographer of the Yugoslav community in Austria. He died in 1989."
51,Jürgen Heinemann,Germany,"Jürgen Heinemann (Osnabrück, Germany, 1934) studied photography with Otto Steinert in Saarbrücken (1957-1959) and later at the famous Folkwangschule für Gestaltung in Essen between (1959-1962). He became a freelance photographer for magazines and organisations. In 1981, he became a professor in photography and photojournalist at the Fachhochschule in Bielefeld, from which he retired in 1999. Jürgen Heineman currently lives and works in Potsdam. "
