,url,prize,photographer,year
0,https://www.worldpressphoto.org/collection/photo-contest/1955/mogens-haven/1,1955 Photo Contest,Mogens Haven,1955
1,https://www.worldpressphoto.org/collection/photo-contest/1956/bela-zola-ft/1,"Singles, 1st prize",Bela Zola,1956
2,https://www.worldpressphoto.org/collection/photo-contest/1956/fred-fischer-ft/1,"Singles, 2nd prize",Fred Fischer,1956
3,https://www.worldpressphoto.org/collection/photo-contest/1956/bela-zola-gn/1,"Singles, 1st prize",Bela Zola,1956
4,https://www.worldpressphoto.org/collection/photo-contest/1956/helmuth-pirath-gns/1,"Stories, 1st prize",Helmuth Pirath,1956
5,https://www.worldpressphoto.org/collection/photo-contest/1956/antoine-rulmont-ne/1,"Singles, 1st prize",Antoine Rulmont,1956
6,https://www.worldpressphoto.org/collection/photo-contest/1956/louis-garnade-ne/1,"Singles, 2nd prize",Louis Garnade,1956
7,https://www.worldpressphoto.org/collection/photo-contest/1956/fred-fischer-gn/1,"Singles, 2nd prize",Fred Fischer,1956
8,https://www.worldpressphoto.org/collection/photo-contest/1956/sergey-preobrazhensky/1,"Singles, 1st prize",Sergey Preobrazhensky,1956
9,https://www.worldpressphoto.org/collection/photo-contest/1956/tibor-komlos/1,"Singles, 2nd prize",Tibor Komlós,1956
10,https://www.worldpressphoto.org/collection/photo-contest/1956/franz-votava/1,"Singles, 3rd prize",Franz Votava,1956
11,https://www.worldpressphoto.org/collection/photo-contest/1956/antoine-rulmont-sn/1,"Singles, 1st prize",Antoine Rulmont,1956
12,https://www.worldpressphoto.org/collection/photo-contest/1956/louis-garnade-sn/1,"Singles, 2nd prize",Louis Garnade,1956
13,https://www.worldpressphoto.org/collection/photo-contest/1956/helmuth-pirath-pst/1,"Stories, 1st prize",Helmuth Pirath,1956
14,https://www.worldpressphoto.org/collection/photo-contest/1957/douglas-martin-ne/1,"Singles, 1st prize",Douglas Martin,1957
15,https://www.worldpressphoto.org/collection/photo-contest/1957/zygmunt-wdowinski-ft/1,"Singles, 1st prize",Zygmunt Wdowinski,1957
16,https://www.worldpressphoto.org/collection/photo-contest/1957/ernest-e-miller-ft/1,"Singles, 2nd prize",Ernest E. Miller,1957
17,https://www.worldpressphoto.org/collection/photo-contest/1957/zygmunt-wdowinski-gn/1,"Singles, 1st prize",Zygmunt Wdowinski,1957
18,https://www.worldpressphoto.org/collection/photo-contest/1957/ernest-e-miller-gn/1,"Singles, 2nd prize",Ernest E. Miller,1957
19,https://www.worldpressphoto.org/collection/photo-contest/1957/albert-winkler-gn/1,"Singles, 3rd prize",Albert Winkler,1957
20,https://www.worldpressphoto.org/collection/photo-contest/1957/simon-e-smit-ne/1,"Singles, 2nd prize",Simon E. Smit,1957
21,https://www.worldpressphoto.org/collection/photo-contest/1957/leos-nebor-ft/1,"Singles, 3rd prize",Leos Nebor,1957
