initial index,Path,Colors_RGB
197,F:\Temp\1965\Eddie Adams\1.jpg,"[[112, 112, 109], [156, 157, 153], [27, 27, 27], [190, 190, 185], [67, 68, 67]]"
198,F:\Temp\1965\Erich Baumann\1.jpg,"[[192, 164, 153], [86, 72, 67], [35, 29, 26], [156, 114, 105], [217, 207, 207]]"
199,F:\Temp\1965\Manfred Rehm\1.jpg,"[[92, 92, 92], [183, 183, 183], [239, 239, 239], [34, 34, 34], [136, 136, 136]]"
200,F:\Temp\1965\James Bourdier\3.jpg,"[[203, 203, 203], [117, 117, 117], [22, 22, 22], [155, 155, 155], [74, 74, 74]]"
201,F:\Temp\1965\Rudi Herzog\1.jpg,"[[28, 28, 28], [159, 159, 156], [194, 194, 190], [62, 62, 62], [107, 107, 105]]"
202,F:\Temp\1965\James Bourdier\6.jpg,"[[176, 176, 176], [35, 35, 35], [221, 221, 221], [135, 135, 135], [88, 88, 88]]"
203,F:\Temp\1965\James Bourdier\2.jpg,"[[35, 35, 35], [137, 137, 137], [225, 225, 225], [92, 92, 92], [172, 172, 172]]"
204,F:\Temp\1965\Matt Herron\2.jpg,"[[198, 198, 198], [114, 114, 114], [22, 22, 22], [155, 155, 155], [67, 67, 67]]"
205,F:\Temp\1965\James Bourdier\1.jpg,"[[94, 94, 94], [188, 188, 188], [142, 142, 142], [230, 230, 230], [44, 44, 44]]"
206,F:\Temp\1965\Rolf Kreuder\1.jpg,"[[70, 70, 70], [153, 153, 153], [183, 183, 183], [113, 113, 113], [42, 42, 42]]"
207,F:\Temp\1965\Matt Herron\3.jpg,"[[29, 29, 29], [177, 177, 177], [80, 80, 80], [220, 220, 220], [132, 132, 132]]"
208,F:\Temp\1965\John Rooy\1.jpg,"[[111, 40, 21], [188, 108, 28], [226, 179, 121], [57, 22, 14], [150, 70, 26]]"
209,F:\Temp\1965\James Bourdier\5.jpg,"[[51, 51, 51], [175, 175, 175], [135, 135, 135], [97, 97, 97], [213, 213, 213]]"
210,F:\Temp\1965\Matt Herron\4.jpg,"[[119, 119, 119], [64, 64, 64], [170, 170, 170], [220, 220, 220], [17, 17, 17]]"
211,F:\Temp\1965\Matt Herron\3.jpg,"[[29, 29, 29], [177, 177, 177], [80, 80, 80], [220, 220, 220], [132, 132, 132]]"
212,F:\Temp\1965\Kyoichi Sawada\1.jpg,"[[181, 181, 181], [76, 76, 76], [148, 148, 148], [32, 32, 32], [112, 112, 112]]"
213,F:\Temp\1965\James Bourdier\1.jpg,"[[94, 94, 94], [188, 188, 188], [142, 142, 142], [230, 230, 230], [44, 44, 44]]"
214,F:\Temp\1965\Rolf Kreuder\1.jpg,"[[70, 70, 70], [153, 153, 153], [183, 183, 183], [113, 113, 113], [42, 42, 42]]"
215,F:\Temp\1965\Matt Herron\2.jpg,"[[198, 198, 198], [114, 114, 114], [22, 22, 22], [155, 155, 155], [67, 67, 67]]"
216,F:\Temp\1965\Freddy Lindström\1.jpg,"[[99, 100, 98], [26, 26, 26], [176, 177, 173], [59, 59, 58], [140, 140, 138]]"
217,F:\Temp\1965\Erich Baumann\1.jpg,"[[192, 164, 153], [86, 72, 67], [35, 29, 26], [156, 114, 105], [217, 207, 207]]"
218,F:\Temp\1965\László Fejes\1.jpg,"[[32, 32, 32], [153, 153, 150], [110, 110, 108], [64, 64, 63], [190, 190, 185]]"
219,F:\Temp\1965\Dieter Heggemann\1.jpg,"[[135, 135, 135], [179, 179, 179], [51, 51, 51], [159, 159, 159], [196, 196, 196]]"
220,F:\Temp\1965\Gerd Heidemann\1.jpg,"[[71, 71, 70], [194, 193, 189], [107, 107, 106], [38, 38, 38], [150, 150, 147]]"
221,F:\Temp\1965\Günter R. Reitz\1.jpg,"[[71, 71, 70], [149, 149, 147], [24, 24, 24], [114, 114, 113], [186, 185, 181]]"
222,F:\Temp\1965\László Fejes\1.jpg,"[[32, 32, 32], [153, 153, 150], [110, 110, 108], [64, 64, 63], [190, 190, 185]]"
223,F:\Temp\1965\Gerd Heidemann\1.jpg,"[[71, 71, 70], [194, 193, 189], [107, 107, 106], [38, 38, 38], [150, 150, 147]]"
224,F:\Temp\1965\Kyoichi Sawada\1.jpg,"[[181, 181, 181], [76, 76, 76], [148, 148, 148], [32, 32, 32], [112, 112, 112]]"
225,F:\Temp\1965\Boris C.M. Spremo\1.jpg,"[[72, 72, 72], [233, 233, 233], [114, 114, 114], [35, 35, 35], [168, 168, 168]]"
226,F:\Temp\1965\Erich Baumann\2.jpg,"[[113, 113, 110], [58, 58, 57], [190, 188, 184], [157, 157, 152], [26, 26, 26]]"
227,F:\Temp\1965\James Bourdier\5.jpg,"[[51, 51, 51], [175, 175, 175], [135, 135, 135], [97, 97, 97], [213, 213, 213]]"
228,F:\Temp\1965\Walter J. Lockeyear\1.jpg,"[[132, 132, 129], [26, 26, 26], [85, 85, 84], [179, 179, 175], [53, 53, 52]]"
229,F:\Temp\1965\James Bourdier\3.jpg,"[[203, 203, 203], [117, 117, 117], [22, 22, 22], [155, 155, 155], [74, 74, 74]]"
230,F:\Temp\1965\James Bourdier\2.jpg,"[[35, 35, 35], [137, 137, 137], [225, 225, 225], [92, 92, 92], [172, 172, 172]]"
