,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
0,Not Specified,1959 Photo Contest,Features,"01 January, 1958",F:\Temp\1959\Vilém Kropp,A boy is being reprimanded by his kindergarten teacher.,1st prize,Vilém Kropp,1959
1,Not Specified,1959 Photo Contest,Features,"01 January, 1955",F:\Temp\1959\Jean-Philippe Charbonnier,Street scene in Kuwait: A woman carries a sewing machine on her head.,2nd prize,Jean-Philippe Charbonnier,1959
2,Not Specified,1959 Photo Contest,Features,"01 January, 1958",F:\Temp\1959\Ernö Vadas,Herd of black horses on the puszta in Hungary.,3rd prize,Ernö Vadas,1959
3,Not Specified,1959 Photo Contest,General News,"01 January, 1958",F:\Temp\1959\Vilém Kropp,A boy is being reprimanded by his kindergarten teacher.,1st prize,Vilém Kropp,1959
4,Not Specified,1959 Photo Contest,General News,"01 January, 1955",F:\Temp\1959\Jean-Philippe Charbonnier,Street scene in Kuwait: A woman carries a sewing machine on her head.,2nd prize,Jean-Philippe Charbonnier,1959
5,Not Specified,1959 Photo Contest,General News,"01 January, 1958",F:\Temp\1959\Ernö Vadas,Herd of black horses on the puszta in Hungary.,3rd prize,Ernö Vadas,1959
6,Not Specified,1959 Photo Contest,News,"01 January, 1958",F:\Temp\1959\Oleg Tsesarsky,The scene of a car accident.,2nd prize,Oleg Tsesarsky,1959
7,Not Specified,1959 Photo Contest,News,"07 April, 1958",F:\Temp\1959\Colin Fletcher,A crash during a motorcycle race on Easter Monday.,1st prize,Colin Fletcher,1959
8,Not Specified,1959 Photo Contest,Sports,"01 April, 1958",F:\Temp\1959\Stanislav Tereba,"Prague, Czechoslovakia

Sparta Praha’s goalkeeper Miroslav Ctvrtnícek takes a kick during a football match against Cervená Hvezda Bratislava in the Letná Stadium.",1st prize,Stanislav Tereba,1959
9,Not Specified,1959 Photo Contest,Sports,"01 January, 1958",F:\Temp\1959\Otakar Hürka,"'Why me?', a football player asks the referee, during a game in the Czechoslovakian premier league, in Hrádec Kralové.",2nd prize,Otakar Hürka,1959
10,Not Specified,1959 Photo Contest,Sports,"29 June, 1958",F:\Temp\1959\Gunnar Tingsvall,"Brazilian football player Pelé (Edison Arantes do Nascimento) weeps for joy when Brazil wins the FIFA World Cup final after defeating guest land Sweden in Råsunda Stadium in Solna. It was the first time Brazil won the World Cup. 

Pelé is resting his head on the shoulder of his teammate Didi (Waldyr Pereira), on the right, Brazil's goalkeeper Gylmar dos Santos Neves.",3rd prize,Gunnar Tingsvall,1959
11,Not Specified,1959 Photo Contest,Spot News,"07 April, 1958",F:\Temp\1959\Colin Fletcher,A crash during a motorcycle race on Easter Monday.,1st prize,Colin Fletcher,1959
12,Not Specified,1959 Photo Contest,Spot News,"01 January, 1958",F:\Temp\1959\Oleg Tsesarsky,The scene of a car accident.,2nd prize,Oleg Tsesarsky,1959
13,Not Specified,1959 Photo Contest,Spot News,"01 January, 1959",F:\Temp\1959\Daniel Camus,"Street fight during the final days of the revolution in Havana, Cuba. 

The Cuban Revolution, which had started in July 1953 with an armed attack on an army base by Fidel Castro and his revolutionary 26th of July Movement, culminated on 1 January 1959 when President Fulgencio Battista fled the country and his army capitulated. The rebellion army led by Che Guevara and Camilo Cienfuegos entered Havana on 2 January, joined by Castro on 8 January.",3rd prize,Daniel Camus,1959
14,Not Specified,1959 Photo Contest,News,"01 January, 1959",F:\Temp\1959\Daniel Camus,"Street fight during the final days of the revolution in Havana, Cuba. 

The Cuban Revolution, which had started in July 1953 with an armed attack on an army base by Fidel Castro and his revolutionary 26th of July Movement, culminated on 1 January 1959 when President Fulgencio Battista fled the country and his army capitulated. The rebellion army led by Che Guevara and Camilo Cienfuegos entered Havana on 2 January, joined by Castro on 8 January.",3rd prize,Daniel Camus,1959
