,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
0,Not Specified,2008 Photo Contest,General News,"01 January, 2007",F:\Temp\2008\Cédric Gerbehaye,"Soldiers of the dissident CNDP (National Congress for the Defense of the People) training. They are renowned for their discipline. The first free elections in four decades, held in 2006, did not put an end to violence and instability in the country. The process of integrating rebel militia into the national army remained delicate.",3rd prize,Cédric Gerbehaye,2008
1,Not Specified,2008 Photo Contest,General News,"01 January, 2007",F:\Temp\2008\Stanley Greene,"A sketch in the sand illustrates a 2003 assault on Furawiya village in Darfur in western Sudan. The diagram was drawn four years later in a refugee camp in neighboring Chad by Asdallah Asdel Khaled, a survivor of the attack. He had witnessed the total destruction of his village and atrocities committed against its inhabitants. Between 2003 and 2007, over 200,000 people were killed and millions displaced by ethnic conflict in Darfur, with large numbers fleeing to Chad.",2nd prize,Stanley Greene,2008
2,Not Specified,2008 Photo Contest,General News,"15 October, 2007",F:\Temp\2008\Takagi Tadatomo,"The victim of an attack by members of the Mungiki gang lies in a street in downtown Nairobi. Mungiki began as a secretive religious sect in Kenya in the 1980s, espousing a return to traditional values and a rejection of Western beliefs. Members are known for their trademark dreadlocks and rituals of tobacco sniffing. Banned in 2002, the sect appears to have evolved over the years into an underworld gang involved in murder, extreme violence, extortion and racketeering. Its activities are said to include demanding protection money from minibus taxi drivers and levying heavy fees for water and electricity supply in slum areas.",3rd prize,Takagi Tadatomo,2008
3,Not Specified,2008 Photo Contest,General News,"01 October, 2007",F:\Temp\2008\Balazs Gardi,"Combined American and Afghan National Army forces conduct Operation Rock Avalanche to flush out insurgents from the Korengal Valley. The valley is considered to be the epicenter of American fighting in Afghanistan and one of the deadliest zones of conflict in the region. Located near the Pakistan border, it was the first part of a former mujahideen arms-smuggling channel, used to bring men and arms into the country. American military strategists believed that al-Qaeda was trying to revive the route.",1st prize,Balazs Gardi,2008
4,Not Specified,2008 Photo Contest,General News,"01 January, 2007",F:\Temp\2008\Tim Hetherington,"September - October 2007: Soldiers of Battle Company of the Second Battalion of the US 503rd Infantry Regiment fire grenades and automatic weapons from their bunker in the Korengal Valley, Afghanistan. Nearly three-quarters of all bombs dropped by NATO forces in Afghanistan are dropped on and around the Korengal Valley. Yet much of the fighting is on foot, and ground gained is measured in yards, single hilltops, small patches of forest.",2nd prize,Tim Hetherington,2008
5,Not Specified,2008 Photo Contest,Nature,"01 January, 2007",F:\Temp\2008\Fang Qianhua,"The leaf of a rare variety of nanmu tree, just one of the plants considered endangered by rising waters caused by the Three Gorges Dam project. The world's largest dam and hydroelectric facility has had an enormous environmental impact, leading to the displacement of over 1.13 million people, the flooding of archaeological sites and problems with algae and water pollution. Plant life is also threatened. Garden sanctuaries have been set up to harbor species transplanted from inundated areas. As the third and fourth stages of the project got underway, officials, previously reticent on the effect of the dam on the ecosystem, began to express concern over environmental matters.",1st prize,Fang Qianhua,2008
6,Not Specified,2008 Photo Contest,People in the News,"13 January, 2007",F:\Temp\2008\Carol Guzy,"People gather for a candlelight vigil for brothers Jeremy and Justin Herring, aged 18 and 20, found dead of gunshot wounds in their family home. Their father, who was said by a relative to suffer from mental illness and depression, was charged with their murder.",2nd prize,Carol Guzy,2008
7,Not Specified,2008 Photo Contest,Nature,"01 January, 2007",F:\Temp\2008\Damon Winter,"The moon rises over the Brooks Mountain Range. To the north of these mountains, in the Beaufort Sea, proposed oil exploration threatens the subsistence way of life of the Inupiat people (Inuit communities living along the arid coastline). By some estimates, the oil off the Alaskan seabed could exceed all remaining reserves in the country, but the Inupiat say that noisy drilling would affect whales' migration routes. The culture, traditions and livelihoods of the Inupiat are centered on whaling and other seasonal hunting.",3rd prize,Damon Winter,2008
8,Not Specified,2008 Photo Contest,Nature,"01 January, 2006",F:\Temp\2008\David Liittschwager,"Marine microfauna from the ocean off Hawaii come under closer focus. A 'Glaucus' nudibranch (sea slug) is no bigger than a US quarter coin. It preys on toxic Portuguese-men-of-war, appropriating their stinging cells for its own defense.",1st prize,David Liittschwager,2008
9,Not Specified,2008 Photo Contest,Nature,"01 January, 2006",F:\Temp\2008\Paul Nicklen,"A group of narwhal whales. Tusks of the narwhal whale were once sold as unicorn horns and were immensely valuable. Today narwhal ivory can still fetch large sums and the whales are legally hunted by some Inuit groups. The replacement of traditional weapons by rifles has resulted in many more narwhal being killed or wounded than being retrieved. Hunters have to get near enough to the edge of the ice to retrieve the narwhal with a grappling hook. Figures vary, but it is estimated that from 30 percent to 70 percent of those shot are lost.",2nd prize,Paul Nicklen,2008
