,Title,Published Date,Background,Story,Award,Award Region,Award Category,Jury,Stored Path,Photographer,Award Year
0,The Dying River,"11 March, 2022","Alfredo, Ubaldo, and José tend beehives near Wenden in the Arizona desert, United States. A substantial decrease in rainfall in the area means that the men must now provide water for the bees in troughs.","Heat and drought weakens bees, making them more susceptible to pathogens and parasites, and impacts the plants from which they feed. Between 2019 and 2020, colonies of managed honey-bees declined by 43.7% across the US. Bees are vital for pollinating many crops, and so play an important role in food security for humans.",2023 Photo Contest,North and Central America,Singles,"This portrait of beekeepers is visually clean and sparks interest and curiosity to understand the issue at hand. The image is subtle and understated, and the jury was impressed by the composition of bees across all thirds. While the topic resonates at a global level, the image itself encourages us to sit with these particular people and consider how they might be impacted by the ongoing environmental crisis.",F:\Temp\2023\Jonas Kakó,Jonas Kakó,2023
1,Maria's Journey,"23 June, 2021","Maria Hernandez walks home from shopping in San Pedro Sula, Honduras, while awaiting a decision on her immigration case, in order to travel to the United States to reunite with her daughters.","When Maria Hernandez and her two daughters, aged eight and three, arrived in the United States from Honduras in search of asylum in July 2017, border authorities apprehended them. The authorities deported Maria, but her children remained behind. US officials at first arranged for the girls to stay in a children’s shelter; later, they went to live with Maria’s adult son, who was already in the country. ",2023 Photo Contest,North and Central America,Stories,"This project answers many questions about the outcome of one's journey of displacement. It offers a clear and complete narrative on the chronology of Maria’s story, portraying how migration is not a solution, but rather a trigger to a whole new set of challenges. The story offers a unique, emotional perspective on migration that is different from mainstreamed stories. The jury was impressed by the photographer's selection of images which demonstrated their commitment to accurately narrating Maria's story over time, across countries. The story stood out as a subversion of the typical displacement story coming from Central America.",F:\Temp\2023\Carlos Barria,Carlos Barria,2023
2,Beautiful Poison,"21 March, 2020","Sebastián (18) baths with the help of his father Tino, in Villa Guerrero, Mexico. Sebastián lives with hydrocephalus, a neurological disorder caused by a build-up of fluids in cavities within the brain, and depends on his parents for most daily activities.","A darker story lies behind the perfect blooms on display in florists around the world, linked to the pesticides used to achieve their unblemished beauty.",2023 Photo Contest,North and Central America,Long-Term Projects,"This project is a compelling, insider perspective on the impacts of the global flower industry and the use of agrochemicals. The jury was impressed by the work’s compelling storytelling which brings a shocking, and intimate experience to the world and portrays the ripple effects of global supply and demand. The images are subtle, nuanced and edited beautifully in a way which maintains the dignity of the community photographed and creates an emotional reading of their story. This is an underreported story that the jury hopes it will make an impact in exposing the corrupt government structures that promote such harmful agrochemicals use.",F:\Temp\2023\Cristopher Rogel Blanquet,Cristopher Rogel Blanquet,2023
3,The Voice of New York Is Drill,"04 August, 2022","Kenzo B (18) is one of the few young up-and-coming women artists in the Brooklyn drill scene. Although there have been a number of women artists, drill artists have been predominantly men. The Bronx, New York, United States.","Originally from the streets of Chicago, United States, drill is the newest subgenre of hip-hop to blow up globally, influencing artists from the United Kingdom to Brazil to Korea. While its sound – fusing aggressive, raw lyrics with pounding, rapidly syncopated drums – may be a new phenomenon, the story of its rise is a familiar one in the history of rap music. Like generations of musicians before them, drill artists transform the pain and desperation of their experiences coming of age in some of the most impoverished neighborhoods in the United States into a distinct form of musical expression. ",2023 Photo Contest,North and Central America,Open Format,"The collection of beautifully framed images pays homage to the history of hip hop while also situating us in the current reality of Drill artists in New York. The photographer presented an intersectional story that highlights how art imitates the lives of the drill artists, and elucidates how their music is used against them to criminalize and incarcerate their community. The diversity of images play off of music and sound and the atmospheric portraits enable one to see and hear how these people live and see the world. It is an extraordinary example of portraiture work.",F:\Temp\2023\Ashley Peña,Ashley Peña,2023
4,I Can't Hear the Birds,"16 November, 2020","A man carries a woman across the Táchira River, which forms the Venezuela-Colombia border. Bridges were closed due the COVID-19 pandemic. UNHCR reported that Colombia hosted some 1.8 million Venezuelan refugees and migrants by May 2022, the largest portion of the diaspora. ","Millions of Venezuelans have left their country to live abroad, driven by economic collapse, political unrest, high unemployment, and extreme social inequality. ",2023 Photo Contest,South America,Long-Term Projects,"This conceptual project engages the viewer in a story about the evolution of the economic and political crisis of Venezuela. It presents a multilayered issue of regional relevance with subtlety, sparking curiosity and evoking a comparison between the photographer’s memory and the broader reality. Each image is intentional and touches on different longlasting issues faced by Venezuelans. The images are beautifully framed and while some are quick and easy to read others build a stronger understanding of the topic in indirect ways.",F:\Temp\2023\FabiolaFerrero,FabiolaFerrero,2023
5,Alpaqueros,"03 May, 2021","Alina Surquislla Gomez, a third-generation alpaquera (alpaca-farmer), cradles a baby alpaca on the way to her family’s summer pastures, in Oropesa, Peru. The climate crisis is forcing herders, many of whom are women, to search for new pastures, often in difficult terrain.","Vital to the livelihoods of many people in the Peruvian Andes, alpacas face new challenges due to the climate crisis. ",2023 Photo Contest,South America,Stories,"This story is a great example of solutions-based journalism, telling a story about the climate crisis from a fresh angle. The photographer captures a multilayered story and balances narratives about loss and preservation. The jury was impressed by how the story narrates the relationship between people, culture and identity and demonstrates how they are deeply tied to all aspects of the changing environment and the animals living in it. The project is beautifully photographed, full of humor, and provides the perfect amount of information. Moreover, it is a perfect edit from start to finish as each frame is relevant and meaningful to the story, allowing the viewer to become invested. ",F:\Temp\2023\Alessandro Cinque,Alessandro Cinque,2023
6,Passengers,,"On 1 August 2016, a boat bound for Italy carrying 118 people was found drifting off the coast of Libya. It was one of many boats that attempted the crossing that year, one small part of a larger wave of migration from Africa to Europe that is usually reported in European news media as a humanitarian crisis represented in abstract figures. And while the numbers are staggering -- according to the United Nations Refugee Agency in 2016 over 300,000 refugees and migrants arrived in Europe and 3,211 were reported dead or missing attempting to reach Europe -- the story is incomplete. Who are the individuals behind those numbers and what happens to them after their arrival in Europe? ","The Passengers project, presented as a multimedia website for De Volkskrant, highlights several personal stories from the people who were on that boat in 2016 as they seek to establish new lives across the continent. Their experiences vary greatly: some find a sense of place, some a provisional home, and others are still adrift, questioning their decision to leave. Common to each story is the way they go beyond the numbers, depicting deeply individual trajectories and diverse personal struggles. ",2023 Photo Contest,Europe,Open Format,"This project could have stopped at its strong portraits, but instead the photographer followed the participants across borders to tell a thorough and dignified story about their migration journey. The project was focused and made excellent choices about what parts of the story to follow in order to bring humanity to a group of people who are often othered across Europe and in mainstream media. The jury was impressed by the phenomenal web presentation and strong photography that spans from the men's arrival in Italy to their settlement in different countries.",F:\Temp\2023\Cesar Dezfuli,Cesar Dezfuli,2023
7,Shifting,Valentina is a 13-year-old who aspires to become a photographer and whose mother is in prison for marijuana possession.,"In Latin America, the incarceration of women has increased dramatically over the last two decades. More than half of the women imprisoned in Ecuador have been charged with drug related crimes and the vast majority of these are for micro-trafficking, the sale of minimal amounts of drugs. The adoption of increasingly punitive laws as a part of the war on drugs and the ongoing prison crisis in the country means that women prisoners are disproportionately impacted and especially vulnerable to prison violence, abuse, and neglect. ","Valentina is a 13-year-old who aspires to become a photographer and whose mother is in prison for marijuana possession. Ecuador’s pre-trial detention policy and punitive sentencing policy means that the separation between mothers and their children has been especially harrowing and increasingly common. Despite the break in their familial bond, the video and imagery in this multimedia project center around the imagination and experiences of Valentina as a young artist, whose rich inner world is not entirely defined by her mother’s incarceration, even as she awaits their reunion. ",2023 Photo Contest,South America,Open Format,"A beautifully executed project that approaches the impacts of incarceration on women and their children in Ecuador from a rarely seen, dignified angle. The jury was impressed by the photographer’s respectful collaboration with 11-year-old Valentina to narrate an intersectional issue from her perspective while centering her past experiences and aspirations for the future. The project takes full advantage of available multimedia tools to portray Valentina's inner world– elements of the story that couldn’t otherwise be captured through photography.",F:\Temp\2023\Johanna Alarcón,Johanna Alarcón,2023
8,Retrieving the Dead,"21 February, 2022","Resistance fighters from the People's Defense Forces (PDF) retreat with the body of a comrade, following a clash with the Myanmar military, in Moe Bye, Kayah (Karenni) State, Myanmar.","Myanmar authorities had sent reinforcements to the region as fighting with local opposition groups intensified. Moe Bye was strategically important as it gave the military access to roads leading to areas where armed resistance was especially strong. By 16 February, almost all of the town's civilian residents had fled.",2023 Photo Contest,Southeast Asia and Oceania,Singles,"This image captures the solemnity of defeat. One can hear the quiet of the men and their boots crunching in the grass as they carry a fallen soldier home. The jury was impressed by the insider lens documented by the local photographer, how they show care, deference, and respect towards the dead despite the brutal view of the mutilated soldier. All of the colors play off of each other in a way that brings greater attention to the silhouette at the center of the frame. The image is a universal reminder of the state of the world wherein people are forced to put their lives on the line to fight for something they believe in.",F:\Temp\2023\Mauk Kham Wah,Mauk Kham Wah,2023
9,Home for the Golden Gays,"18 July, 2022","Al Enriquez (86) looks through a curtain in the the Golden Gays’ home in Manila, the Philippines. ","The Golden Gays are a community of older LGBTQI+ people from the Philippines who have lived together for decades, sharing a home, caring for each other as they age, and staging shows and pageants to make ends meet.",2023 Photo Contest,Southeast Asia and Oceania,Stories,"This project enlists an intersectional approach to portray the multilayered experiences of LGBTQI+ identifying people in the Philippines. The photographer holds the people in such high regard and has them shining at the highest capacity. The images are stunning frames of love, joy, and celebration and the community the people surround themselves with. The project is well executed, beautifully photographed, and successfully centers the community's demonstrations of trust and resilience, instead of indulging in despair. ",F:\Temp\2023\HannahReyes Morales,HannahReyes Morales,2023
