,Index,Title,Award,Category,Published Date,URL,Stored Path,Description,Prize Level,Photographer,Award Year
0,1,Not Specified,1999 Photo Contest,General News,"01 January, 1998",https://www.worldpressphoto.org/getmedia/622c2e81-41e7-4e0d-81fa-620908d82041/1999-Yunghi-Kim-GNS1-AL?maxsidesize=1920&resizemode=force,F:\Temp\1999\Yunghi Kim\1.jpg,"In the run-up to President Suharto's resignation as many as 30,000 students gathered daily outside the parliament building. The resignation of Indonesia's President Suharto after 32 years of rule did not put a stop to the unrest that had been rocking the country. His successor, President Habibi, was considered by many to be too close to the previous political establishment. Lawlessness spread as different groups vied to fill the power vacuum. Thousands of businesses were looted and the killings continued.",1st prize,Yunghi Kim,1999
1,2,Not Specified,1999 Photo Contest,General News,"01 January, 1998",https://www.worldpressphoto.org/getmedia/0222b62d-9f35-4e23-82f1-135842bdaa8b/1999-Yunghi-Kim-GNS1-BL?maxsidesize=1920&resizemode=force,F:\Temp\1999\Yunghi Kim\2.jpg,"A student taunts soldiers with a fake gun. The resignation of Indonesia's President Suharto after 32 years of rule did not put a stop to the unrest that had been rocking the country. His successor, President Habibi, was considered by many to be too close to the previous political establishment. Lawlessness spread as different groups vied to fill the power vacuum. Thousands of businesses were looted and the killings continued.",1st prize,Yunghi Kim,1999
2,3,Not Specified,1999 Photo Contest,General News,"01 January, 1998",https://www.worldpressphoto.org/getmedia/c76f3d17-165e-4e5b-8bff-c6028fad0822/1999-Yunghi-Kim-GNS1-CL?maxsidesize=1920&resizemode=force,F:\Temp\1999\Yunghi Kim\3.jpg,"The resignation of Indonesia's President Suharto after 32 years of rule did not put a stop to the unrest that had been rocking the country. His successor, President Habibi, was considered by many to be too close to the previous political establishment. Lawlessness spread as different groups vied to fill the power vacuum. Thousands of businesses were looted and the killings continued.",1st prize,Yunghi Kim,1999
3,4,Not Specified,1999 Photo Contest,General News,"01 January, 1998",https://www.worldpressphoto.org/getmedia/fd207761-ba57-4455-9df9-cfc90a63323a/1999-Yunghi-Kim-GNS1-DL?maxsidesize=1920&resizemode=force,F:\Temp\1999\Yunghi Kim\4.jpg,"Businesses owned by ethnic Chinese were prime targets for looting. The resignation of Indonesia's President Suharto after 32 years of rule did not put a stop to the unrest that had been rocking the country. His successor, President Habibi, was considered by many to be too close to the previous political establishment. Lawlessness spread as different groups vied to fill the power vacuum. Thousands of businesses were looted and the killings continued.",1st prize,Yunghi Kim,1999
4,5,Not Specified,1999 Photo Contest,General News,"01 January, 1998",https://www.worldpressphoto.org/getmedia/4bd84b80-e52d-4988-a909-1e1bbb0701f0/1999-Yunghi-Kim-GNS1-EL?maxsidesize=1920&resizemode=force,F:\Temp\1999\Yunghi Kim\5.jpg,"The resignation of Indonesia's President Suharto after 32 years of rule did not put a stop to the unrest that had been rocking the country. His successor, President Habibi, was considered by many to be too close to the previous political establishment. Lawlessness spread as different groups vied to fill the power vacuum. Thousands of businesses were looted and the killings continued.",1st prize,Yunghi Kim,1999
5,6,Not Specified,1999 Photo Contest,General News,"01 January, 1998",https://www.worldpressphoto.org/getmedia/807dbb30-1e91-48ad-adff-780de7b11787/1999-Yunghi-Kim-GNS1-FL?maxsidesize=1920&resizemode=force,F:\Temp\1999\Yunghi Kim\6.jpg,"Following rumors that Christians had torched a mosque in Jakarta, six men were lynched. Here, the corpse of one of the suspects is dragged through the streets. The resignation of Indonesia's President Suharto after 32 years of rule did not put a stop to the unrest that had been rocking the country. His successor, President Habibi, was considered by many to be too close to the previous political establishment. Lawlessness spread as different groups vied to fill the power vacuum. Thousands of businesses were looted and the killings continued.",1st prize,Yunghi Kim,1999
6,7,Not Specified,1999 Photo Contest,General News,"01 January, 1998",https://www.worldpressphoto.org/getmedia/2a67af7f-2228-406d-91f0-8ffabbd6f431/1999-Yunghi-Kim-GNS1-GL?maxsidesize=1920&resizemode=force,F:\Temp\1999\Yunghi Kim\7.jpg,"Bodies filled the city morgue after May riots. The resignation of Indonesia's President Suharto after 32 years of rule did not put a stop to the unrest that had been rocking the country. His successor, President Habibi, was considered by many to be too close to the previous political establishment. Lawlessness spread as different groups vied to fill the power vacuum. Thousands of businesses were looted and the killings continued.",1st prize,Yunghi Kim,1999
7,8,Not Specified,1999 Photo Contest,General News,"01 January, 1998",https://www.worldpressphoto.org/getmedia/bf44c8c1-01fb-45e0-b7bc-53971a2fe3f8/1999-Yunghi-Kim-GNS1-HL?maxsidesize=1920&resizemode=force,F:\Temp\1999\Yunghi Kim\8.jpg,"The resignation of Indonesia's President Suharto after 32 years of rule did not put a stop to the unrest that had been rocking the country. His successor, President Habibi, was considered by many to be too close to the previous political establishment. Lawlessness spread as different groups vied to fill the power vacuum. Thousands of businesses were looted and the killings continued.",1st prize,Yunghi Kim,1999
8,9,Not Specified,1999 Photo Contest,General News,"01 January, 1998",https://www.worldpressphoto.org/getmedia/3f0ce578-eb8a-466c-9dab-76b1ffd9f65c/1999-Yunghi-Kim-GNS1-IL?maxsidesize=1920&resizemode=force,F:\Temp\1999\Yunghi Kim\9.jpg,"Protestors placed flowers along the police security line. The resignation of Indonesia's President Suharto after 32 years of rule did not put a stop to the unrest that had been rocking the country. His successor, President Habibi, was considered by many to be too close to the previous political establishment. Lawlessness spread as different groups vied to fill the power vacuum. Thousands of businesses were looted and the killings continued.",1st prize,Yunghi Kim,1999
9,10,Not Specified,1999 Photo Contest,General News,"01 January, 1998",https://www.worldpressphoto.org/getmedia/941cc2c7-624b-4700-a9bf-9785fba0bc54/1999-Yunghi-Kim-GNS1-JL?maxsidesize=1920&resizemode=force,F:\Temp\1999\Yunghi Kim\10.jpg,"Suharto looks on as Habibi is sworn in. The resignation of Indonesia's President Suharto after 32 years of rule did not put a stop to the unrest that had been rocking the country. His successor, President Habibi, was considered by many to be too close to the previous political establishment. Lawlessness spread as different groups vied to fill the power vacuum. Thousands of businesses were looted and the killings continued.",1st prize,Yunghi Kim,1999
10,1,Not Specified,1999 Photo Contest,General News,"01 January, 1998",https://www.worldpressphoto.org/getmedia/0a6cc47c-d352-43cb-befb-ed1145aaafcc/1999-Tom-Stoddart-GNS2-AL?maxsidesize=1920&resizemode=force,F:\Temp\1999\Tom Stoddart\1.jpg,"For 15 years Sudan has been gripped by civil war between the Muslim government in the north and the animist and Christian people of the south. More than a million have had to flee their homes in southern Sudan. Famine has resulted as refugees are unable to settle and produce their own food. The region around the village of Ajiep, inhabited by the Dinka tribe, was one of the worst hit. Thousands flocked to food centers set up in the village by UNICEF and Médecins Sans Frontières. Only children below 60 per cent of their ideal body weight were admitted. More than 100 people died a day at Ajiep.",2nd prize,Tom Stoddart,1999
11,2,Not Specified,1999 Photo Contest,General News,"01 January, 1998",https://www.worldpressphoto.org/getmedia/b1396989-a834-440a-aa50-7b403e3797d7/1999-Tom-Stoddart-GNS2-BL?maxsidesize=1920&resizemode=force,F:\Temp\1999\Tom Stoddart\2.jpg,"For 15 years Sudan has been gripped by civil war between the Muslim government in the north and the animist and Christian people of the south. More than a million have had to flee their homes in southern Sudan. Famine has resulted as refugees are unable to settle and produce their own food. The region around the village of Ajiep, inhabited by the Dinka tribe, was one of the worst hit. Thousands flocked to food centers set up in the village by UNICEF and Médecins Sans Frontières. Only children below 60 per cent of their ideal body weight were admitted. More than 100 people died a day at Ajiep.",2nd prize,Tom Stoddart,1999
12,3,Not Specified,1999 Photo Contest,General News,"01 January, 1998",https://www.worldpressphoto.org/getmedia/53da48ef-d92f-4a89-9877-de4923c5d70b/1999-Tom-Stoddart-GNS2-CL?maxsidesize=1920&resizemode=force,F:\Temp\1999\Tom Stoddart\3.jpg,"For 15 years Sudan has been gripped by civil war between the Muslim government in the north and the animist and Christian people of the south. More than a million have had to flee their homes in southern Sudan. Famine has resulted as refugees are unable to settle and produce their own food. The region around the village of Ajiep, inhabited by the Dinka tribe, was one of the worst hit. Thousands flocked to food centers set up in the village by UNICEF and Médecins Sans Frontières. Only children below 60 per cent of their ideal body weight were admitted. More than 100 people died a day at Ajiep.",2nd prize,Tom Stoddart,1999
13,4,Not Specified,1999 Photo Contest,General News,"01 January, 1998",https://www.worldpressphoto.org/getmedia/85bf8be1-0bc5-4ffb-a5f2-c704cb3d6c06/1999-Tom-Stoddart-GNS2-DL?maxsidesize=1920&resizemode=force,F:\Temp\1999\Tom Stoddart\4.jpg,"For 15 years Sudan has been gripped by civil war between the Muslim government in the north and the animist and Christian people of the south. More than a million have had to flee their homes in southern Sudan. Famine has resulted as refugees are unable to settle and produce their own food. The region around the village of Ajiep, inhabited by the Dinka tribe, was one of the worst hit. Thousands flocked to food centers set up in the village by UNICEF and Médecins Sans Frontières. Only children below 60 per cent of their ideal body weight were admitted. More than 100 people died a day at Ajiep.",2nd prize,Tom Stoddart,1999
