,Index,Title,Published Date,Background,Story,Award,Award Region,Award Category,Jury,URL,Stored Path,Photographer,Award Year
0,1,Kamloops Residential School,"19 June, 2021","Red dresses hung on crosses along a roadside commemorate children who died at the Kamloops Indian Residential School, an institution created to assimilate Indigenous children, following the detection of as many as 215 unmarked graves, Kamloops, British Columbia.The hanging of red dresses as a visual response to the disproportionate violence faced by women with an Indigenous heritage began in Winnipeg, Manitoba, in 2011; orange shirts are also used, specifically to acknowledge suffering caused to children by the residential school system in Canada. Residential schools began operating in the 19th century as part of a policy of assimilating people from various Indigenous communities into Western, and predominantly Christian culture. Students were removed from their homes and parents – frequently by force – and often forbidden to communicate in their own languages. Their hair was cut short, and they had to wear uniforms, rather than traditional clothing, were given Euro-Christian names in place of their own, and were subject to physical and sometimes sexual abuse. Supreme Court Chief Justice Beverley McLachlin claimed Canada used the institutions to commit cultural genocide.","Upwards of 150,000 children passed through the doors of residential schools before the last one closed in 1996. A Truth and Reconciliation Commission, set up in 2009, concluded that at least 4,100 students died while at the schools, as a result of mistreatment, neglect, disease or accident. The Kamloops School, established in 1890, became the largest in the system, attended by hundreds of Secwépemc and other First Nations children. It closed in 1978. In May 2021, a survey using ground-penetrating radar identified as many as 215 potential juvenile burial sites at Kamloops – confirming reports from oral histories.",2022 Photo Contest,North and Central America,Singles,"This winner represents the awakening of a shameful history that is finally being addressed in Canada. It is a perfect image which captures a rare light, and is at once haunting, arresting, and symbolic. The sensory image offers a quiet moment of reckoning with the global legacy of colonization and exploitation, while amplifying the voices of First Nations communities who are demanding justice. The single image requires an active eye, and encourages us to hold governments, social institutions, and ourselves accountable. ",https://www.worldpressphoto.org/getmedia/9ed88778-bc89-4c25-a2d9-9d26307a530e/WPP_2022Contest_North-and-Central-America_SIN_Amber-Bracken.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2022\Amber Bracken\1.jpg,Amber Bracken,2022
1,1,The People Who Feed the United States,"06 September, 2020","José sits in his room with his sister Sara, in Sioux Falls, South Dakota, USA. José worked in a meatpacking plant until contracting COVID-19 in April 2020. He was in hospital on a ventilator for five months, and still uses an oxygen cylinder. Sara also worked at the factory, but left to become a house cleaner. She took care of her brother during his illness. The stories of migrants working in the US meatpacking industry sheds light on the lives many migrants lead once they reach their destination. The industry, which prepares meat for human consumption, is dominated by large industrial firms, with four companies controlling 70% of nationwide beef production. Immigrant labor makes up a large proportion of workers in an industry known for its long shifts and strenuous working conditions, and where English language skills are not essential. Nationally, immigrants make up 37% of the meat industry labor force, according to the Migrant Policy Institute. In some states, such as Nebraska and South Dakota, that rises to well over half the workforce.","In April 2020, former US president Donald Trump called the meat industry part of the nation’s critical infrastructure, saying plants should remain open despite the COVID-19 pandemic. According to the US Department of Labor, meatpacking workers are exposed to a range of bacteria and viruses, and are at increased risk of illness. COVID-19 spread quickly in an industry where workers operated in close proximity to each other. A study by the US-based Environmental Working Group found that counties with or near meatpacking industries reported twice the national average rate of COVID-19 infection. This was exacerbated by the fact that consolidation in the industry has led to meatpacking plants being located in clusters, and because people in difficult economic circumstances, or who are dependent on overtime pay, may feel a financial pressure to turn up for work, despite the risks.",2022 Photo Contest,North and Central America,Stories,"The jury appreciated these nuanced portraits for their intimate, care, and dignified representations of an often invisible but crucial section in our society – a section that suffered the brunt of the impacts of the COVID-19 pandemic. It approaches the portrayal of migrants in a humane way, unlike so many dehumanizing vantage points permeating the mainstream media and desensitizing us to the hardships of these vulnerable groups. The project allows us to see them as the people they are after they have become ingrained in the fabric of our society, apart from the occupations that they tend to be defined by in the media.",https://www.worldpressphoto.org/getmedia/51d7311b-1954-4269-8315-a5c8481bc64e/WPP_2022Contest_North-and-Central-America_STO_Ismail-Ferdous_AJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2022\Ismail Ferdous\1.jpg,Ismail Ferdous,2022
2,2,The People Who Feed the United States,"06 September, 2020","José sits in his room with his sister Sara, in Sioux Falls, South Dakota, USA. José worked in a meatpacking plant until contracting COVID-19 in April 2020. He was in hospital on a ventilator for five months, and still uses an oxygen cylinder. Sara also worked at the factory, but left to become a house cleaner. She took care of her brother during his illness. The stories of migrants working in the US meatpacking industry sheds light on the lives many migrants lead once they reach their destination. The industry, which prepares meat for human consumption, is dominated by large industrial firms, with four companies controlling 70% of nationwide beef production. Immigrant labor makes up a large proportion of workers in an industry known for its long shifts and strenuous working conditions, and where English language skills are not essential. Nationally, immigrants make up 37% of the meat industry labor force, according to the Migrant Policy Institute. In some states, such as Nebraska and South Dakota, that rises to well over half the workforce.","In April 2020, former US president Donald Trump called the meat industry part of the nation’s critical infrastructure, saying plants should remain open despite the COVID-19 pandemic. According to the US Department of Labor, meatpacking workers are exposed to a range of bacteria and viruses, and are at increased risk of illness. COVID-19 spread quickly in an industry where workers operated in close proximity to each other. A study by the US-based Environmental Working Group found that counties with or near meatpacking industries reported twice the national average rate of COVID-19 infection. This was exacerbated by the fact that consolidation in the industry has led to meatpacking plants being located in clusters, and because people in difficult economic circumstances, or who are dependent on overtime pay, may feel a financial pressure to turn up for work, despite the risks.",2022 Photo Contest,North and Central America,Stories,"The jury appreciated these nuanced portraits for their intimate, care, and dignified representations of an often invisible but crucial section in our society – a section that suffered the brunt of the impacts of the COVID-19 pandemic. It approaches the portrayal of migrants in a humane way, unlike so many dehumanizing vantage points permeating the mainstream media and desensitizing us to the hardships of these vulnerable groups. The project allows us to see them as the people they are after they have become ingrained in the fabric of our society, apart from the occupations that they tend to be defined by in the media.",https://www.worldpressphoto.org/getmedia/163bca42-613c-4973-80cd-840e8be8f766/WPP_2022Contest_North-and-Central-America_STO_Ismail-Ferdous_BJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2022\Ismail Ferdous\2.jpg,Ismail Ferdous,2022
3,3,The People Who Feed the United States,"06 September, 2020","José sits in his room with his sister Sara, in Sioux Falls, South Dakota, USA. José worked in a meatpacking plant until contracting COVID-19 in April 2020. He was in hospital on a ventilator for five months, and still uses an oxygen cylinder. Sara also worked at the factory, but left to become a house cleaner. She took care of her brother during his illness. The stories of migrants working in the US meatpacking industry sheds light on the lives many migrants lead once they reach their destination. The industry, which prepares meat for human consumption, is dominated by large industrial firms, with four companies controlling 70% of nationwide beef production. Immigrant labor makes up a large proportion of workers in an industry known for its long shifts and strenuous working conditions, and where English language skills are not essential. Nationally, immigrants make up 37% of the meat industry labor force, according to the Migrant Policy Institute. In some states, such as Nebraska and South Dakota, that rises to well over half the workforce.","In April 2020, former US president Donald Trump called the meat industry part of the nation’s critical infrastructure, saying plants should remain open despite the COVID-19 pandemic. According to the US Department of Labor, meatpacking workers are exposed to a range of bacteria and viruses, and are at increased risk of illness. COVID-19 spread quickly in an industry where workers operated in close proximity to each other. A study by the US-based Environmental Working Group found that counties with or near meatpacking industries reported twice the national average rate of COVID-19 infection. This was exacerbated by the fact that consolidation in the industry has led to meatpacking plants being located in clusters, and because people in difficult economic circumstances, or who are dependent on overtime pay, may feel a financial pressure to turn up for work, despite the risks.",2022 Photo Contest,North and Central America,Stories,"The jury appreciated these nuanced portraits for their intimate, care, and dignified representations of an often invisible but crucial section in our society – a section that suffered the brunt of the impacts of the COVID-19 pandemic. It approaches the portrayal of migrants in a humane way, unlike so many dehumanizing vantage points permeating the mainstream media and desensitizing us to the hardships of these vulnerable groups. The project allows us to see them as the people they are after they have become ingrained in the fabric of our society, apart from the occupations that they tend to be defined by in the media.",https://www.worldpressphoto.org/getmedia/d253cc05-90ca-4a95-bc49-b84d33351f6a/WPP_2022Contest_North-and-Central-America_STO_Ismail-Ferdous_CJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2022\Ismail Ferdous\3.jpg,Ismail Ferdous,2022
4,4,The People Who Feed the United States,"06 September, 2020","José sits in his room with his sister Sara, in Sioux Falls, South Dakota, USA. José worked in a meatpacking plant until contracting COVID-19 in April 2020. He was in hospital on a ventilator for five months, and still uses an oxygen cylinder. Sara also worked at the factory, but left to become a house cleaner. She took care of her brother during his illness. The stories of migrants working in the US meatpacking industry sheds light on the lives many migrants lead once they reach their destination. The industry, which prepares meat for human consumption, is dominated by large industrial firms, with four companies controlling 70% of nationwide beef production. Immigrant labor makes up a large proportion of workers in an industry known for its long shifts and strenuous working conditions, and where English language skills are not essential. Nationally, immigrants make up 37% of the meat industry labor force, according to the Migrant Policy Institute. In some states, such as Nebraska and South Dakota, that rises to well over half the workforce.","In April 2020, former US president Donald Trump called the meat industry part of the nation’s critical infrastructure, saying plants should remain open despite the COVID-19 pandemic. According to the US Department of Labor, meatpacking workers are exposed to a range of bacteria and viruses, and are at increased risk of illness. COVID-19 spread quickly in an industry where workers operated in close proximity to each other. A study by the US-based Environmental Working Group found that counties with or near meatpacking industries reported twice the national average rate of COVID-19 infection. This was exacerbated by the fact that consolidation in the industry has led to meatpacking plants being located in clusters, and because people in difficult economic circumstances, or who are dependent on overtime pay, may feel a financial pressure to turn up for work, despite the risks.",2022 Photo Contest,North and Central America,Stories,"The jury appreciated these nuanced portraits for their intimate, care, and dignified representations of an often invisible but crucial section in our society – a section that suffered the brunt of the impacts of the COVID-19 pandemic. It approaches the portrayal of migrants in a humane way, unlike so many dehumanizing vantage points permeating the mainstream media and desensitizing us to the hardships of these vulnerable groups. The project allows us to see them as the people they are after they have become ingrained in the fabric of our society, apart from the occupations that they tend to be defined by in the media.",https://www.worldpressphoto.org/getmedia/da4ebbcb-920b-40b7-8c1c-2eaea6b2d1e5/WPP_2022Contest_North-and-Central-America_STO_Ismail-Ferdous_DJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2022\Ismail Ferdous\4.jpg,Ismail Ferdous,2022
5,5,The People Who Feed the United States,"06 September, 2020","José sits in his room with his sister Sara, in Sioux Falls, South Dakota, USA. José worked in a meatpacking plant until contracting COVID-19 in April 2020. He was in hospital on a ventilator for five months, and still uses an oxygen cylinder. Sara also worked at the factory, but left to become a house cleaner. She took care of her brother during his illness. The stories of migrants working in the US meatpacking industry sheds light on the lives many migrants lead once they reach their destination. The industry, which prepares meat for human consumption, is dominated by large industrial firms, with four companies controlling 70% of nationwide beef production. Immigrant labor makes up a large proportion of workers in an industry known for its long shifts and strenuous working conditions, and where English language skills are not essential. Nationally, immigrants make up 37% of the meat industry labor force, according to the Migrant Policy Institute. In some states, such as Nebraska and South Dakota, that rises to well over half the workforce.","In April 2020, former US president Donald Trump called the meat industry part of the nation’s critical infrastructure, saying plants should remain open despite the COVID-19 pandemic. According to the US Department of Labor, meatpacking workers are exposed to a range of bacteria and viruses, and are at increased risk of illness. COVID-19 spread quickly in an industry where workers operated in close proximity to each other. A study by the US-based Environmental Working Group found that counties with or near meatpacking industries reported twice the national average rate of COVID-19 infection. This was exacerbated by the fact that consolidation in the industry has led to meatpacking plants being located in clusters, and because people in difficult economic circumstances, or who are dependent on overtime pay, may feel a financial pressure to turn up for work, despite the risks.",2022 Photo Contest,North and Central America,Stories,"The jury appreciated these nuanced portraits for their intimate, care, and dignified representations of an often invisible but crucial section in our society – a section that suffered the brunt of the impacts of the COVID-19 pandemic. It approaches the portrayal of migrants in a humane way, unlike so many dehumanizing vantage points permeating the mainstream media and desensitizing us to the hardships of these vulnerable groups. The project allows us to see them as the people they are after they have become ingrained in the fabric of our society, apart from the occupations that they tend to be defined by in the media.",https://www.worldpressphoto.org/getmedia/09d58227-4c19-46e3-b53c-da2061e153d1/WPP_2022Contest_North-and-Central-America_STO_Ismail-Ferdous_EJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2022\Ismail Ferdous\5.jpg,Ismail Ferdous,2022
6,6,The People Who Feed the United States,"06 September, 2020","José sits in his room with his sister Sara, in Sioux Falls, South Dakota, USA. José worked in a meatpacking plant until contracting COVID-19 in April 2020. He was in hospital on a ventilator for five months, and still uses an oxygen cylinder. Sara also worked at the factory, but left to become a house cleaner. She took care of her brother during his illness. The stories of migrants working in the US meatpacking industry sheds light on the lives many migrants lead once they reach their destination. The industry, which prepares meat for human consumption, is dominated by large industrial firms, with four companies controlling 70% of nationwide beef production. Immigrant labor makes up a large proportion of workers in an industry known for its long shifts and strenuous working conditions, and where English language skills are not essential. Nationally, immigrants make up 37% of the meat industry labor force, according to the Migrant Policy Institute. In some states, such as Nebraska and South Dakota, that rises to well over half the workforce.","In April 2020, former US president Donald Trump called the meat industry part of the nation’s critical infrastructure, saying plants should remain open despite the COVID-19 pandemic. According to the US Department of Labor, meatpacking workers are exposed to a range of bacteria and viruses, and are at increased risk of illness. COVID-19 spread quickly in an industry where workers operated in close proximity to each other. A study by the US-based Environmental Working Group found that counties with or near meatpacking industries reported twice the national average rate of COVID-19 infection. This was exacerbated by the fact that consolidation in the industry has led to meatpacking plants being located in clusters, and because people in difficult economic circumstances, or who are dependent on overtime pay, may feel a financial pressure to turn up for work, despite the risks.",2022 Photo Contest,North and Central America,Stories,"The jury appreciated these nuanced portraits for their intimate, care, and dignified representations of an often invisible but crucial section in our society – a section that suffered the brunt of the impacts of the COVID-19 pandemic. It approaches the portrayal of migrants in a humane way, unlike so many dehumanizing vantage points permeating the mainstream media and desensitizing us to the hardships of these vulnerable groups. The project allows us to see them as the people they are after they have become ingrained in the fabric of our society, apart from the occupations that they tend to be defined by in the media.",https://www.worldpressphoto.org/getmedia/d24914d7-db87-4900-8efb-6cb0b9e14837/WPP_2022Contest_North-and-Central-America_STO_Ismail-Ferdous_FJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2022\Ismail Ferdous\6.jpg,Ismail Ferdous,2022
7,7,The People Who Feed the United States,"06 September, 2020","José sits in his room with his sister Sara, in Sioux Falls, South Dakota, USA. José worked in a meatpacking plant until contracting COVID-19 in April 2020. He was in hospital on a ventilator for five months, and still uses an oxygen cylinder. Sara also worked at the factory, but left to become a house cleaner. She took care of her brother during his illness. The stories of migrants working in the US meatpacking industry sheds light on the lives many migrants lead once they reach their destination. The industry, which prepares meat for human consumption, is dominated by large industrial firms, with four companies controlling 70% of nationwide beef production. Immigrant labor makes up a large proportion of workers in an industry known for its long shifts and strenuous working conditions, and where English language skills are not essential. Nationally, immigrants make up 37% of the meat industry labor force, according to the Migrant Policy Institute. In some states, such as Nebraska and South Dakota, that rises to well over half the workforce.","In April 2020, former US president Donald Trump called the meat industry part of the nation’s critical infrastructure, saying plants should remain open despite the COVID-19 pandemic. According to the US Department of Labor, meatpacking workers are exposed to a range of bacteria and viruses, and are at increased risk of illness. COVID-19 spread quickly in an industry where workers operated in close proximity to each other. A study by the US-based Environmental Working Group found that counties with or near meatpacking industries reported twice the national average rate of COVID-19 infection. This was exacerbated by the fact that consolidation in the industry has led to meatpacking plants being located in clusters, and because people in difficult economic circumstances, or who are dependent on overtime pay, may feel a financial pressure to turn up for work, despite the risks.",2022 Photo Contest,North and Central America,Stories,"The jury appreciated these nuanced portraits for their intimate, care, and dignified representations of an often invisible but crucial section in our society – a section that suffered the brunt of the impacts of the COVID-19 pandemic. It approaches the portrayal of migrants in a humane way, unlike so many dehumanizing vantage points permeating the mainstream media and desensitizing us to the hardships of these vulnerable groups. The project allows us to see them as the people they are after they have become ingrained in the fabric of our society, apart from the occupations that they tend to be defined by in the media.",https://www.worldpressphoto.org/getmedia/b95469e1-73b7-4dd5-be4b-5fce786f54fb/WPP_2022Contest_North-and-Central-America_STO_Ismail-Ferdous_GJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2022\Ismail Ferdous\7.jpg,Ismail Ferdous,2022
8,8,The People Who Feed the United States,"06 September, 2020","José sits in his room with his sister Sara, in Sioux Falls, South Dakota, USA. José worked in a meatpacking plant until contracting COVID-19 in April 2020. He was in hospital on a ventilator for five months, and still uses an oxygen cylinder. Sara also worked at the factory, but left to become a house cleaner. She took care of her brother during his illness. The stories of migrants working in the US meatpacking industry sheds light on the lives many migrants lead once they reach their destination. The industry, which prepares meat for human consumption, is dominated by large industrial firms, with four companies controlling 70% of nationwide beef production. Immigrant labor makes up a large proportion of workers in an industry known for its long shifts and strenuous working conditions, and where English language skills are not essential. Nationally, immigrants make up 37% of the meat industry labor force, according to the Migrant Policy Institute. In some states, such as Nebraska and South Dakota, that rises to well over half the workforce.","In April 2020, former US president Donald Trump called the meat industry part of the nation’s critical infrastructure, saying plants should remain open despite the COVID-19 pandemic. According to the US Department of Labor, meatpacking workers are exposed to a range of bacteria and viruses, and are at increased risk of illness. COVID-19 spread quickly in an industry where workers operated in close proximity to each other. A study by the US-based Environmental Working Group found that counties with or near meatpacking industries reported twice the national average rate of COVID-19 infection. This was exacerbated by the fact that consolidation in the industry has led to meatpacking plants being located in clusters, and because people in difficult economic circumstances, or who are dependent on overtime pay, may feel a financial pressure to turn up for work, despite the risks.",2022 Photo Contest,North and Central America,Stories,"The jury appreciated these nuanced portraits for their intimate, care, and dignified representations of an often invisible but crucial section in our society – a section that suffered the brunt of the impacts of the COVID-19 pandemic. It approaches the portrayal of migrants in a humane way, unlike so many dehumanizing vantage points permeating the mainstream media and desensitizing us to the hardships of these vulnerable groups. The project allows us to see them as the people they are after they have become ingrained in the fabric of our society, apart from the occupations that they tend to be defined by in the media.",https://www.worldpressphoto.org/getmedia/c36bcac3-ad4b-4187-9b12-0e959342e08f/WPP_2022Contest_North-and-Central-America_STO_Ismail-Ferdous_HJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2022\Ismail Ferdous\8.jpg,Ismail Ferdous,2022
9,9,The People Who Feed the United States,"06 September, 2020","José sits in his room with his sister Sara, in Sioux Falls, South Dakota, USA. José worked in a meatpacking plant until contracting COVID-19 in April 2020. He was in hospital on a ventilator for five months, and still uses an oxygen cylinder. Sara also worked at the factory, but left to become a house cleaner. She took care of her brother during his illness. The stories of migrants working in the US meatpacking industry sheds light on the lives many migrants lead once they reach their destination. The industry, which prepares meat for human consumption, is dominated by large industrial firms, with four companies controlling 70% of nationwide beef production. Immigrant labor makes up a large proportion of workers in an industry known for its long shifts and strenuous working conditions, and where English language skills are not essential. Nationally, immigrants make up 37% of the meat industry labor force, according to the Migrant Policy Institute. In some states, such as Nebraska and South Dakota, that rises to well over half the workforce.","In April 2020, former US president Donald Trump called the meat industry part of the nation’s critical infrastructure, saying plants should remain open despite the COVID-19 pandemic. According to the US Department of Labor, meatpacking workers are exposed to a range of bacteria and viruses, and are at increased risk of illness. COVID-19 spread quickly in an industry where workers operated in close proximity to each other. A study by the US-based Environmental Working Group found that counties with or near meatpacking industries reported twice the national average rate of COVID-19 infection. This was exacerbated by the fact that consolidation in the industry has led to meatpacking plants being located in clusters, and because people in difficult economic circumstances, or who are dependent on overtime pay, may feel a financial pressure to turn up for work, despite the risks.",2022 Photo Contest,North and Central America,Stories,"The jury appreciated these nuanced portraits for their intimate, care, and dignified representations of an often invisible but crucial section in our society – a section that suffered the brunt of the impacts of the COVID-19 pandemic. It approaches the portrayal of migrants in a humane way, unlike so many dehumanizing vantage points permeating the mainstream media and desensitizing us to the hardships of these vulnerable groups. The project allows us to see them as the people they are after they have become ingrained in the fabric of our society, apart from the occupations that they tend to be defined by in the media.",https://www.worldpressphoto.org/getmedia/c86b0196-aeb1-4401-a586-e695d493d120/WPP_2022Contest_North-and-Central-America_STO_Ismail-Ferdous_IJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2022\Ismail Ferdous\9.jpg,Ismail Ferdous,2022
