Top,Photographer,Photographer_Country,Count,Image
1,Eddie Adams,US,31,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Eddie_Adams_%281969%29.jpg/220px-Eddie_Adams_%281969%29.jpg
2,James Nachtwey,US,22,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Nachtwey_MSK2011.jpg/220px-Nachtwey_MSK2011.jpg
3,Anthony Suau,US,19,https://t3.gstatic.com/licensed-image?q=tbn:ANd9GcTThNjGpO8GAyN9rUFz2MrPzS7yFziv1s-F2Z5HDtvOl5ghtpYe6pOlaxNXH5Ru9Bng
4,David Turnley,US,13,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/David_Turnley_Portrait.png/220px-David_Turnley_Portrait.jpg
5,G¨¦rard Klijn,NL,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjGtN6489A8pRR40XkvQB4DetNmSZZSPd1Rt5kMHA&s
6,Brent Stirton,ZA,13,https://www.worldpressphoto.org/getmedia/ab33edd5-c2a2-47a7-bbe0-0904c0d49384/Brent-Stirton_%c2%a9-Stuart-Weber.jpg?height=500&resizemode=force
7,Sven-Erik Sj?berg,SE,11,https://static.feber.se/article_images/22/80/8/22808.jpg
8,Paolo Pellegrin,IT,10,https://www.worldpressphoto.org/getmedia/90c2d587-91bb-4133-ab76-761d8a914bd1/Paolo-Pellegrin?height=500&resizemode=force
9,Carol Guzy,US,10,https://t3.gstatic.com/licensed-image?q=tbn:ANd9GcSz8kvngRbr3h-y0mMJR0X5NU9WT-fKhlFI0E8AENW79kF8aiYy6ub85alRkRSCeCzA
10,Jos¨¦ Azel,CU,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0avprnar2OlqaWklWJqM2vQWsSnVPUH-yE_9ou-ayF3ggHEta08Xw9ldZ3qWfJQHHGMw&usqp=CAU
11,Adam Pretty,AU,10,https://www.worldpressphoto.org/getmedia/322bced7-db81-41b5-98b0-ce36015d8972/WPP-2021PhotoContest-Adam-Pretty-portrait.jpg?height=500&resizemode=force
12,Tim Clayton,AU,9,https://www.worldpressphoto.org/getmedia/bcb4310b-1d6a-4d47-9a73-bae603bf853e/Tim-Clayton?height=500&resizemode=force
13,David Guttenfelder,US,9,"https://static.wixstatic.com/media/b9b0e1_2a4795a86bd44e1dac089c624bd54032~mv2.jpg/v1/fill/w_500,h_500,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/ChrisOrwig-BenMoon-HighRes.jpg"
14,Jodi Bieber,ZA,9,https://www.worldpressphoto.org/getmedia/c396f4f1-596b-4fce-926a-1afee4c69141/Jodi-Bieber?height=500&resizemode=force
15,Henning Christoph,US,9,
16,David Burnett,US,9,
17,Jan Grarup,DK,9,
18,Francesco Zizola,IT,9,
19,"Donald Miralle, Jr.",US,8,
20,Imre Benk?,Unknown,8,
