,Photographer,Photographer_Country,Count
393,Eddie Adams,US,31
701,James Nachtwey,US,22
120,Anthony Suau,US,19
347,David Turnley,US,13
585,Gérard Klijn,NL,13
192,Brent Stirton,ZA,13
1472,Sven-Erik Sj?berg,Unknown,11
1198,Paolo Pellegrin,IT,10
221,Carol Guzy,US,10
813,José Azel,CU,10
9,Adam Pretty,AU,10
1511,Tim Clayton,AU,9
331,David Guttenfelder,US,9
756,Jodi Bieber,ZA,9
622,Henning Christoph,US,9
323,David Burnett,US,9
706,Jan Grarup,DK,9
496,Francesco Zizola,IT,9
381,"Donald Miralle, Jr.",US,8
657,Imre Benk?,Unknown,8
